Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
0,12,10,2014,8,42,46,5537,20,5537,19.8
1,12,10,2014,8,42,47,5537,20,5537,19.8
2,12,10,2014,8,42,48,5537,20,5537,19.8
3,12,10,2014,8,42,49,5537,20,5537,19.8
4,12,10,2014,8,42,50,5537,20,5537,19.8
5,12,10,2014,8,42,51,5537,20,5537,19.8
6,12,10,2014,8,42,52,5537,20,5537,19.8
7,12,10,2014,8,42,53,5537,20,5537,19.8
8,12,10,2014,8,42,54,5537,20,5537,19.8
9,12,10,2014,8,42,55,5537,20,5537,19.8
10,12,10,2014,8,42,56,5537,20,5537,19.8
11,12,10,2014,8,42,57,5537,20,5537,19.8
12,12,10,2014,8,42,58,5537,20,5537,19.8
13,12,10,2014,8,42,59,5537,20,5537,19.8
14,12,10,2014,8,43,0,5537,20,5537,19.8
15,12,10,2014,8,43,1,5537,20,5537,19.8
16,12,10,2014,8,43,2,5537,20,5537,19.8
17,12,10,2014,8,43,3,5537,20,5537,19.8
18,12,10,2014,8,43,4,5537,20,5537,19.8
19,12,10,2014,8,43,5,5537,20,5537,19.8
20,12,10,2014,8,43,6,5537,20,5537,19.8
21,12,10,2014,8,43,7,5537,20,5537,19.8
22,12,10,2014,8,43,8,5537,20,5537,19.8
23,12,10,2014,8,43,9,5537,20,5537,19.8
24,12,10,2014,8,43,10,5537,20,5537,19.8
25,12,10,2014,8,43,11,5537,20,5537,19.8
26,12,10,2014,8,43,12,5537,20,5537,19.8
27,12,10,2014,8,43,13,5537,20,5537,19.8
28,12,10,2014,8,43,14,5537,20,5537,19.8
29,12,10,2014,8,43,15,5537,20,5537,19.8
30,12,10,2014,8,43,16,5537,20,5537,19.8
31,12,10,2014,8,43,17,5537,20,5537,19.8
32,12,10,2014,8,43,18,5537,20,5537,19.8
33,12,10,2014,8,43,19,5537,20,5537,19.8
34,12,10,2014,8,43,20,5537,20,5537,19.8
35,12,10,2014,8,43,21,5537,20,5537,19.8
36,12,10,2014,8,43,22,5537,20,5537,19.8
37,12,10,2014,8,43,23,5537,20,5537,19.8
38,12,10,2014,8,43,24,5537,20,5537,19.8
39,12,10,2014,8,43,25,5537,20,5537,19.8
40,12,10,2014,8,43,26,5537,20,5537,19.8
41,12,10,2014,8,43,27,5537,20,5537,19.8
42,12,10,2014,8,43,28,5537,20,5537,19.8
43,12,10,2014,8,43,29,5537,20,5537,19.8
44,12,10,2014,8,43,30,5537,20,5537,19.8
45,12,10,2014,8,43,31,5537,20,5537,19.8
46,12,10,2014,8,43,32,5537,20,5537,19.8
47,12,10,2014,8,43,34,5537,20,5537,19.8
48,12,10,2014,8,43,35,5537,20,5537,19.8
49,12,10,2014,8,43,36,5537,20,5537,19.8
50,12,10,2014,8,43,37,5537,20,5537,19.8
51,12,10,2014,8,43,38,5537,20,5537,19.8
52,12,10,2014,8,43,39,5537,20,5537,19.8
53,12,10,2014,8,43,40,5537,20,5537,19.8
54,12,10,2014,8,43,41,5537,20,5537,19.8
55,12,10,2014,8,43,42,5537,20,5537,19.8
56,12,10,2014,8,43,43,5537,20,5537,19.8
57,12,10,2014,8,43,44,5537,20,5537,19.8
58,12,10,2014,8,43,45,5537,20,5537,19.8
59,12,10,2014,8,43,46,5537,20,5537,19.8
60,12,10,2014,8,43,47,5537,20,5537,19.8
61,12,10,2014,8,43,48,5537,20,5537,19.8
62,12,10,2014,8,43,49,5537,20,5537,19.8
63,12,10,2014,8,43,50,5537,20,5537,19.8
64,12,10,2014,8,43,51,5537,20,5537,19.8
65,12,10,2014,8,43,52,5537,20,5537,19.8
66,12,10,2014,8,43,53,5537,20,5537,19.8
67,12,10,2014,8,43,54,5537,20,5537,19.8
68,12,10,2014,8,43,55,5537,20,5537,19.8
69,12,10,2014,8,43,56,5537,20,5537,19.8
70,12,10,2014,8,43,57,5537,20,5537,19.8
71,12,10,2014,8,43,58,5537,20,5537,19.8
72,12,10,2014,8,43,59,5537,20,5537,19.8
73,12,10,2014,8,44,0,5537,20,5537,19.8
74,12,10,2014,8,44,1,5537,20,5537,19.8
75,12,10,2014,8,44,2,5537,20,5537,19.8
76,12,10,2014,8,44,3,5537,20,5537,19.8
77,12,10,2014,8,44,4,5537,20,5537,19.8
78,12,10,2014,8,44,5,5537,20,5537,19.8
79,12,10,2014,8,44,6,5537,20,5537,19.8
80,12,10,2014,8,44,7,5537,20,5537,19.8
81,12,10,2014,8,44,8,5537,20,5537,19.8
82,12,10,2014,8,44,9,5537,20,5537,19.8
83,12,10,2014,8,44,10,5537,20,5537,19.8
84,12,10,2014,8,44,11,5537,20,5537,19.8
85,12,10,2014,8,44,12,5537,20,5537,19.8
